ticker,type,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,expiration,spot_price
SPY,put,635.0,0.01,0.01,0.02,210.0,6188.0,0.3632876171875,2026-03-18,666.97998046875
SPY,put,636.0,0.01,0.01,0.02,52.0,1311.0,0.35547519531249994,2026-03-18,666.97998046875
SPY,put,637.0,0.01,0.01,0.02,40.0,3104.0,0.3437565625,2026-03-18,666.97998046875
SPY,put,638.0,0.01,0.01,0.02,235.0,1307.0,0.3320379296875,2026-03-18,666.97998046875
SPY,put,639.0,0.01,0.01,0.02,144.0,2817.0,0.3242255078124999,2026-03-18,666.97998046875
SPY,put,640.0,0.01,0.01,0.02,2165.0,8491.0,0.31250687499999996,2026-03-18,666.97998046875
SPY,put,641.0,0.02,0.01,0.02,1649.0,917.0,0.3007882421875,2026-03-18,666.97998046875
SPY,put,642.0,0.01,0.01,0.02,3898.0,1825.0,0.2929758203124999,2026-03-18,666.97998046875
SPY,put,643.0,0.02,0.01,0.02,59.0,1086.0,0.28125718749999995,2026-03-18,666.97998046875
SPY,put,644.0,0.02,0.01,0.02,345.0,6912.0,0.2695385546875,2026-03-18,666.97998046875
SPY,put,645.0,0.03,0.02,0.03,639.0,6481.0,0.273444765625,2026-03-18,666.97998046875
SPY,put,646.0,0.03,0.02,0.03,70.0,2142.0,0.2617261328125,2026-03-18,666.97998046875
SPY,put,647.0,0.02,0.02,0.03,2724.0,4651.0,0.2500075,2026-03-18,666.97998046875
SPY,put,648.0,0.03,0.02,0.03,4208.0,2965.0,0.23828886718749998,2026-03-18,666.97998046875
SPY,put,649.0,0.04,0.03,0.04,2986.0,2243.0,0.23633576171874998,2026-03-18,666.97998046875
SPY,put,650.0,0.04,0.03,0.04,5177.0,9218.0,0.225593681640625,2026-03-18,666.97998046875
SPY,put,651.0,0.05,0.04,0.05,2030.0,2947.0,0.22071091796874998,2026-03-18,666.97998046875
SPY,put,652.0,0.05,0.05,0.06,3728.0,4225.0,0.2148516015625,2026-03-18,666.97998046875
SPY,put,653.0,0.07,0.07,0.08,11620.0,3691.0,0.21192194335937498,2026-03-18,666.97998046875
SPY,put,654.0,0.1,0.09,0.1,31390.0,2125.0,0.20703917968749996,2026-03-18,666.97998046875
SPY,put,655.0,0.11,0.11,0.12,40376.0,6114.0,0.20020331054687499,2026-03-18,666.97998046875
SPY,put,656.0,0.14,0.14,0.15,21761.0,3837.0,0.195320546875,2026-03-18,666.97998046875
SPY,put,657.0,0.19,0.18,0.19,10762.0,4207.0,0.19043778320312502,2026-03-18,666.97998046875
SPY,put,658.0,0.25,0.25,0.26,17390.0,4268.0,0.1889729541015625,2026-03-18,666.97998046875
SPY,put,659.0,0.34,0.34,0.35,18670.0,4348.0,0.187508125,2026-03-18,666.97998046875
SPY,put,660.0,0.43,0.43,0.44,48783.0,16026.0,0.18262536132812499,2026-03-18,666.97998046875
SPY,put,661.0,0.61,0.61,0.62,34410.0,12573.0,0.18531088134765622,2026-03-18,666.97998046875
SPY,put,662.0,0.76,0.76,0.77,52896.0,5735.0,0.18042811767578126,2026-03-18,666.97998046875
SPY,put,663.0,1.02,1.01,1.02,44542.0,4854.0,0.18116053222656248,2026-03-18,666.97998046875
SPY,put,664.0,1.33,1.32,1.33,47507.0,5182.0,0.1825032922363281,2026-03-18,666.97998046875
SPY,put,665.0,1.67,1.65,1.66,100066.0,12635.0,0.18091639404296872,2026-03-18,666.97998046875
SPY,put,666.0,2.15,2.14,2.15,92836.0,3322.0,0.186531572265625,2026-03-18,666.97998046875
SPY,put,667.0,2.64,2.67,2.68,101593.0,6197.0,0.1905598522949219,2026-03-18,666.97998046875
SPY,put,668.0,3.37,3.33,3.34,135756.0,5828.0,0.19959296508789062,2026-03-18,666.97998046875
SPY,put,669.0,4.02,3.9,3.93,80952.0,3874.0,0.1997150341796875,2026-03-18,666.97998046875
SPY,put,670.0,4.77,4.61,4.64,49412.0,15382.0,0.2048419360351562,2026-03-18,666.97998046875
SPY,put,671.0,5.4,5.54,5.57,9912.0,6995.0,0.22449505981445309,2026-03-18,666.97998046875
SPY,put,672.0,6.37,6.34,6.38,6794.0,10395.0,0.23242955078125,2026-03-18,666.97998046875
SPY,put,673.0,7.03,7.32,7.35,3062.0,7122.0,0.25220474365234374,2026-03-18,666.97998046875
SPY,put,674.0,8.18,8.08,8.12,1778.0,4635.0,0.25196060546875,2026-03-18,666.97998046875
SPY,put,675.0,9.13,8.96,9.06,1724.0,1746.0,0.26636475830078127,2026-03-18,666.97998046875
SPY,put,676.0,10.07,9.91,10.03,883.0,1036.0,0.2827220166015625,2026-03-18,666.97998046875
SPY,put,677.0,11.15,10.89,11.04,630.0,1172.0,0.30298548583984375,2026-03-18,666.97998046875
SPY,put,678.0,12.05,11.9,12.35,523.0,505.0,0.3557193334960937,2026-03-18,666.97998046875
SPY,put,679.0,13.12,12.91,13.12,1491.0,1344.0,0.34961587890624996,2026-03-18,666.97998046875
SPY,put,680.0,14.18,13.88,14.05,420.0,2330.0,0.35962554443359374,2026-03-18,666.97998046875
SPY,put,681.0,14.78,14.87,15.3,59.0,92.0,0.407232490234375,2026-03-18,666.97998046875
SPY,put,682.0,15.27,15.53,16.35,37.0,30.0,0.43140217041015627,2026-03-18,666.97998046875
SPY,put,683.0,16.75,16.6,17.35,25.0,10.0,0.4497125341796875,2026-03-18,666.97998046875
SPY,put,684.0,14.94,17.94,18.35,4.0,14.0,0.467778759765625,2026-03-18,666.97998046875
SPY,put,685.0,18.63,18.51,18.92,12.0,79.0,0.428716650390625,2026-03-18,666.97998046875
SPY,put,686.0,19.82,19.59,20.33,5.0,13.0,0.5007374145507812,2026-03-18,666.97998046875
SPY,put,687.0,18.46,20.86,21.0,2.0,0.0,0.4731497998046875,2026-03-18,666.97998046875
SPY,put,688.0,17.3,21.83,22.16,3.0,2.0,0.5122119091796875,2026-03-18,666.97998046875
SPY,put,689.0,21.47,22.88,22.97,11.0,0.0,0.5012256909179689,2026-03-18,666.97998046875
SPY,put,690.0,23.81,24.05,24.14,15.0,12.0,0.5358933129882812,2026-03-18,666.97998046875
SPY,put,691.0,24.87,24.98,25.08,3.0,3.0,0.5422409057617189,2026-03-18,666.97998046875
SPY,put,692.0,23.45,25.83,25.92,1.0,0.0,0.5329636547851562,2026-03-18,666.97998046875
SPY,put,693.0,26.86,27.05,27.14,10.0,0.0,0.5839885351562499,2026-03-18,666.97998046875
SPY,put,694.0,23.83,27.83,27.93,8.0,0.0,0.5642133422851563,2026-03-18,666.97998046875
SPY,put,695.0,26.49,29.05,29.14,11.0,0.0,0.6152382226562501,2026-03-18,666.97998046875
SPY,put,696.0,27.58,28.54,31.32,8.0,,0.6030313134765627,2026-03-18,666.97998046875
SPY,put,697.0,27.32,29.52,32.29,8.0,0.0,0.6137733935546876,2026-03-18,666.97998046875
SPY,put,698.0,27.53,30.66,33.43,1.0,0.0,0.6530796411132813,2026-03-18,666.97998046875
SPY,put,699.0,30.96,31.53,34.31,8.0,0.0,0.6459996337890624,2026-03-18,666.97998046875
SPY,put,700.0,29.07,32.69,35.47,5.0,6.0,0.6892120922851563,2026-03-18,666.97998046875
SPY,put,701.0,27.28,33.66,36.45,1.0,1.0,0.6997100341796876,2026-03-18,666.97998046875
SPY,put,702.0,21.89,34.51,37.29,,0.0,0.68555001953125,2026-03-18,666.97998046875
SPY,put,703.0,32.91,35.51,38.3,8.0,,0.70117486328125,2026-03-18,666.97998046875
SPY,put,704.0,22.47,36.63,39.38,,,0.7346217944335938,2026-03-18,666.97998046875
SPY,put,705.0,37.81,37.63,40.43,8.0,0.0,0.7539087109375,2026-03-18,666.97998046875
SPY,put,709.0,38.51,41.52,44.3,,,0.7866232275390624,2026-03-18,666.97998046875
SPY,put,710.0,41.65,42.51,45.31,20.0,0.0,0.8002949658203125,2026-03-18,666.97998046875
SPY,put,711.0,42.14,43.52,46.3,8.0,,0.8139667041015625,2026-03-18,666.97998046875
SPY,put,714.0,49.73,46.51,49.3,2.0,0.0,0.8540053662109376,2026-03-18,666.97998046875
SPY,put,715.0,46.94,47.53,50.31,8.0,0.0,0.8706067626953125,2026-03-18,666.97998046875
SPY,call,615.0,54.11,49.67,52.47,1.0,2.0,0.6357458300781251,2026-03-19,666.97998046875
SPY,call,620.0,46.14,44.8,47.47,80.0,6.0,0.5839885351562499,2026-03-19,666.97998046875
SPY,call,625.0,45.13,39.63,42.42,13.0,18.0,0.5207567456054687,2026-03-19,666.97998046875
SPY,call,630.0,36.4,35.95,36.52,13.0,2010.0,1.0000000000000003e-05,2026-03-19,666.97998046875
SPY,call,632.0,36.59,32.84,35.64,,2.0,0.48633326171875,2026-03-19,666.97998046875
SPY,call,633.0,47.29,31.67,34.44,,1.0,0.4409235595703125,2026-03-19,666.97998046875
SPY,call,635.0,33.68,29.85,32.49,1.0,2.0,0.4282283740234375,2026-03-19,666.97998046875
SPY,call,636.0,35.14,28.86,31.66,8.0,4.0,0.44434149414062496,2026-03-19,666.97998046875
SPY,call,637.0,35.6,28.9,29.65,5.0,5.0,1.0000000000000003e-05,2026-03-19,666.97998046875
SPY,call,639.0,27.64,26.7,28.12,8.0,4.0,0.30713583496093744,2026-03-19,666.97998046875
SPY,call,640.0,26.25,25.94,26.65,5.0,46.0,1.0000000000000003e-05,2026-03-19,666.97998046875
SPY,call,641.0,25.24,24.88,26.1,3.0,1.0,0.282233740234375,2026-03-19,666.97998046875
SPY,call,643.0,25.32,22.93,23.97,5.0,9.0,0.20117986328124998,2026-03-19,666.97998046875
SPY,call,644.0,25.13,22.37,23.19,6.0,12.0,0.2771068383789062,2026-03-19,666.97998046875
SPY,call,645.0,26.47,20.98,22.21,10.0,125.0,0.27149166015625,2026-03-19,666.97998046875
SPY,call,646.0,35.08,20.05,21.2,,1.0,0.25928475097656256,2026-03-19,666.97998046875
SPY,call,647.0,19.37,19.06,20.23,,26.0,0.25489026367187506,2026-03-19,666.97998046875
SPY,call,648.0,20.0,18.07,18.89,3.0,16.0,1.0000000000000003e-05,2026-03-19,666.97998046875
SPY,call,649.0,18.98,17.31,18.3,8.0,20.0,0.24585715087890625,2026-03-19,666.97998046875
SPY,call,650.0,16.58,16.55,16.9,162.0,2231.0,1.0000000000000003e-05,2026-03-19,666.97998046875
SPY,call,655.0,12.19,12.0,12.14,30.0,856.0,0.1557701611328125,2026-03-19,666.97998046875
SPY,call,656.0,11.55,11.03,11.16,4.0,94.0,0.14869015380859374,2026-03-19,666.97998046875
SPY,call,657.0,11.0,10.3,10.44,8.0,185.0,0.17188328125000002,2026-03-19,666.97998046875
SPY,call,658.0,9.73,9.49,9.61,17.0,453.0,0.1753012158203125,2026-03-19,666.97998046875
SPY,call,659.0,8.93,8.75,8.85,23.0,161.0,0.1810384631347656,2026-03-19,666.97998046875
SPY,call,660.0,8.0,7.95,8.04,154.0,442.0,0.1801839794921875,2026-03-19,666.97998046875
SPY,call,661.0,7.34,7.2,7.29,226.0,86.0,0.18116053222656248,2026-03-19,666.97998046875
SPY,call,662.0,6.58,6.51,6.58,276.0,254.0,0.1821370849609375,2026-03-19,666.97998046875
SPY,call,663.0,5.83,5.83,5.91,250.0,396.0,0.18311363769531247,2026-03-19,666.97998046875
SPY,call,664.0,5.15,5.14,5.15,363.0,409.0,0.17701018310546873,2026-03-19,666.97998046875
SPY,call,665.0,4.6,4.6,4.62,1286.0,1023.0,0.1810384631347656,2026-03-19,666.97998046875
SPY,call,666.0,3.95,3.98,3.99,3824.0,359.0,0.17762052856445312,2026-03-19,666.97998046875
SPY,call,667.0,3.51,3.5,3.52,6246.0,653.0,0.18006191040039063,2026-03-19,666.97998046875
SPY,call,668.0,2.97,2.99,3.0,11147.0,1113.0,0.17762052856445312,2026-03-19,666.97998046875
SPY,call,669.0,2.49,2.54,2.55,12504.0,1674.0,0.1763998376464844,2026-03-19,666.97998046875
SPY,call,670.0,2.09,2.08,2.09,16621.0,3218.0,0.17224948852539065,2026-03-19,666.97998046875
SPY,call,671.0,1.75,1.75,1.76,4953.0,2198.0,0.1726156958007813,2026-03-19,666.97998046875
SPY,call,672.0,1.39,1.4,1.41,6366.0,2094.0,0.16931983032226564,2026-03-19,666.97998046875
SPY,call,673.0,1.11,1.11,1.12,5274.0,2049.0,0.1667563793945313,2026-03-19,666.97998046875
SPY,call,674.0,0.89,0.88,0.89,17812.0,3130.0,0.16553568847656253,2026-03-19,666.97998046875
SPY,call,675.0,0.69,0.67,0.68,7304.0,4573.0,0.16285016845703126,2026-03-19,666.97998046875
SPY,call,676.0,0.52,0.52,0.53,2699.0,1583.0,0.16236189208984375,2026-03-19,666.97998046875
SPY,call,677.0,0.39,0.38,0.39,2519.0,2502.0,0.15979844116210937,2026-03-19,666.97998046875
SPY,call,678.0,0.28,0.28,0.29,3467.0,1450.0,0.15869981933593752,2026-03-19,666.97998046875
SPY,call,679.0,0.21,0.2,0.21,6133.0,1838.0,0.157234990234375,2026-03-19,666.97998046875
SPY,call,680.0,0.14,0.15,0.16,3525.0,4445.0,0.15821154296875,2026-03-19,666.97998046875
SPY,call,681.0,0.12,0.1,0.11,1548.0,1911.0,0.1562584375,2026-03-19,666.97998046875
SPY,call,682.0,0.09,0.08,0.09,1543.0,2378.0,0.159188095703125,2026-03-19,666.97998046875
SPY,call,683.0,0.07,0.06,0.07,1194.0,2299.0,0.161141201171875,2026-03-19,666.97998046875
SPY,call,684.0,0.04,0.04,0.05,977.0,2233.0,0.161141201171875,2026-03-19,666.97998046875
SPY,call,685.0,0.04,0.04,0.05,2472.0,4193.0,0.16895362304687503,2026-03-19,666.97998046875
SPY,call,686.0,0.03,0.03,0.04,1553.0,1643.0,0.17188328125000002,2026-03-19,666.97998046875
SPY,call,687.0,0.03,0.02,0.03,109.0,2636.0,0.17188328125000002,2026-03-19,666.97998046875
SPY,call,688.0,0.03,0.02,0.03,1312.0,3649.0,0.179695703125,2026-03-19,666.97998046875
SPY,call,689.0,0.02,0.02,0.03,205.0,2437.0,0.187508125,2026-03-19,666.97998046875
SPY,call,690.0,0.01,0.02,0.03,2977.0,2899.0,0.195320546875,2026-03-19,666.97998046875
SPY,call,691.0,0.02,0.01,0.02,332.0,906.0,0.1914143359375,2026-03-19,666.97998046875
SPY,call,692.0,0.02,0.01,0.02,76.0,2589.0,0.1992267578125,2026-03-19,666.97998046875
